image,ground_truth,prediction,CER_score
test001.jpg,"0 0.235450 0.771991 0.074074 0.022156
0 0.472388 0.717593 0.050595 0.017857
0 0.780423 0.733300 0.062831 0.020833",B 5140 BCD,0.9469026548672567
test002.jpg,0 0.712467 0.664683 0.104828 0.040344,BG 1352 AE,0.8918918918918919
test003.jpg,"0 0.186839 0.727513 0.064815 0.023148
0 0.761905 0.714286 0.106481 0.035714",B 1995 JVK,0.92
test004.jpg,0 0.6044609457671958 0.6975617063492062 0.09781124338624339 0.03070568783068783,9-3062 VEH,0.9240506329113924
test005.jpg,0 0.360450 0.771164 0.103175 0.038360,DD 2798 KM,0.918918918918919
test006.jpg,0 0.380126 0.656415 0.051257 0.017196,1H23 456,0.8648648648648649
test007.jpg,0 0.538984623015873 0.7926344246031746 0.09715013227513226 0.026406845238095236,AD 8865 EE,0.9367088607594937
test008.jpg,"0 0.539848 0.886078 0.088955 0.030754
0 0.78125 0.7685190145502645 0.05985400132275132 0.021163988095238093",DK 1157 AAB,0.9439252336448598
test009.jpg,"0 0.44907430555555555 0.6937833664021164 0.038359986772486775 0.013228009259259259
0 0.752149 0.727017 0.073743 0.025463",A1649 GB,0.9583333333333334
test010.jpg,"0 0.14302199074074073 0.7845570105820105 0.0763889880952381 0.025462996031746035
0 0.791997 0.891700 0.105820 0.033399",H 147 UY,0.9576271186440678
test011.jpg,"0 0.102844 0.476521 0.039021 0.025794
0 0.345899 0.526620 0.048942 0.031415
0 0.801257 0.555556 0.107804 0.044312",D 1204 AIG,0.9469026548672567
test012.jpg,0 0.5304071475843812 0.684290569159497 0.16736601588352085 0.05422078093977498,E 1887 BA,0.9230769230769231
test013.jpg,"0 0.239914 0.787368 0.118717 0.037037
0 0.716435 0.716270 0.066468 0.025132",B 1439 U2P,0.92
test014.jpg,0 0.749008 0.799934 0.086640 0.030423,B 1388 Dfx,0.8918918918918919
test015.jpg,0 0.464120 0.813823 0.108135 0.041005,AD-1798.BT,0.918918918918919
test016.jpg,0 0.615245 0.639385 0.102183 0.036706,E 1517 00,0.8108108108108109
test017.jpg,0 0.425430 0.605324 0.077050 0.028108,AD 8982 FS,0.918918918918919
test018.jpg,0 0.5895800264550265 0.7524556547619048 0.06738789682539682 0.02276967592592593,7603-UJA,0.9493670886075949
test019.jpg,"0 0.30505998677248675 0.667824007936508 0.05456299603174603 0.01686501322751323
0 0.7122652777777777 0.660194246031746 0.04754646164021164 0.013509391534391535",A 1939 6116,0.9433962264150944
test020.jpg,"0 0.218254 0.754299 0.054894 0.018519
0 0.772817 0.801918 0.081349 0.030423",AD 1328 PY,0.9333333333333333
test021.jpg,"0 0.406746 0.788360 0.100529 0.030423
0 0.741402 0.697090 0.062169 0.021164",BA 1709 DW,0.92
test022.jpg,"0 0.704530 0.779101 0.139220 0.048942
0 0.4586639880952381 0.6724540013227513 0.03703700396825397 0.012234986772486774
0 0.181052 0.722388 0.040675 0.014220",W 1825 02,0.9487179487179487
test023.jpg,0 0.5095536375661376 0.7756041997354497 0.126911541005291 0.0359963955026455,B 1730 JL0,0.9078947368421053
test024.jpg,0 0.384094 0.766038 0.094907 0.039352,B 2964 TRU,0.8648648648648649
test025.jpg,"0 0.222553 0.834821 0.079365 0.036706
0 0.452050 0.730985 0.045635 0.025463
0 0.7496331018518518 0.6973965277777777 0.09847222222222221 0.034342956349206345
0 0.941138 0.708003 0.042328 0.021164",W 1185 Z0,0.9639175257731959
test026.jpg,"0 0.487103 0.783399 0.120370 0.043651
0 0.767857 0.855489 0.091270 0.042989",N 9652 DF,0.92
test027.jpg,"0 0.261409 0.547454 0.036706 0.013558
0 0.523313 0.544974 0.040013 0.015212
0 0.7631912037037036 0.5495791335978836 0.037109589947089947 0.013840178571428571",1-420-B,0.9745222929936306
test028.jpg,"0 0.215939 0.641204 0.083333 0.029101
0 0.908069 0.656085 0.075397 0.029101",L 1438 E8,0.9066666666666666
test029.jpg,"0 0.13574699074074073 0.5299269841269841 0.03736798941798942 0.015541997354497355
0 0.29728799603174605 0.5294309854497354 0.04365099206349206 0.01653399470899471
0 0.496197 0.533399 0.043981 0.014550
0 0.747024 0.538525 0.049603 0.018188",B 1236 AAA,0.9747899159663865
test030.jpg,"0 0.304894 0.754134 0.075397 0.028108
0 0.6833660052910052 0.7066796296296297 0.060516005291005294 0.021163988095238093",K8062 NF,0.957983193277311
test031.jpg,"0 0.363757 0.778770 0.125000 0.048280
0 0.854993 0.770172 0.065146 0.023148
0 0.632937 0.692626 0.039683 0.013558",1569 08,0.9380530973451328
test032.jpg,"0 0.20519199735449734 0.7232139880952381 0.05324100529100529 0.019179993386243387
0 0.838459 0.768022 0.084325 0.030093",W 1182 K,0.9495798319327731
test033.jpg,"0 0.148644 0.811508 0.069775 0.028439
0 0.3242389880952381 0.6850200066137566 0.04001299603174603 0.015541997354497355
0 0.611937996031746 0.6995700066137566 0.07440499338624339 0.02215598544973545
0 0.864253 0.644345 0.057870 0.022817",7182 683,0.9659574468085106
test034.jpg,"0 0.296462 0.743552 0.051257 0.020833
0 0.434689 0.739583 0.042659 0.018188
0 0.500496 0.839782 0.055886 0.026786
0 0.736607 0.866733 0.048611 0.021825",L 1811 SU,0.9602649006622517
test035.jpg,"0 0.255456 0.797950 0.064484 0.022487
0 0.05109100529100529 0.8373019841269842 0.0413360119047619 0.015873015873015872
0 0.509425 0.783730 0.040013 0.014550
0 0.745701 0.893519 0.071429 0.029762",W 169G Y0,0.9690721649484536
test036.jpg,"0 0.378307 0.729332 0.195106 0.110119
0 0.807209 0.693452 0.076720 0.052249",B 1231 JJA,0.9333333333333333
test037.jpg,"0 0.1535679894179894 0.7901542328042328 0.12591987433862434 0.03665823412698413
0 0.739087003968254 0.8024143849206349 0.07341299603174603 0.020833002645502648
0 0.3928570105820106 0.723049007936508 0.03703700396825397 0.013558002645502646",1775 V0 10-25,0.9539748953974896
test038.jpg,"0 0.213294 0.551918 0.071429 0.026455
0 0.701389 0.550430 0.088624 0.029431",L 1877 ACU,0.92
test039.jpg,0 0.571429 0.725860 0.120370 0.039021,L 1069 VK,0.8648648648648649
test040.jpg,0 0.376164 0.776928 0.233045 0.084441,S 1595 LL 07-28,0.8378378378378378
test041.jpg,0 0.559358 0.639054 0.122685 0.050595,B 1231 JJA,0.8918918918918919
test042.jpg,0 0.608466 0.827381 0.098545 0.034392,AD 1174 SF,0.8918918918918919
test043.jpg,"0 0.085152 0.596726 0.055225 0.034061
0 0.808201 0.536872 0.056217 0.018849",K 1398 NT,0.9333333333333333
test044.jpg,"0 0.600364 0.863591 0.130622 0.043981
0 0.317791 0.743386 0.054233 0.018519",L 1930 KF,0.92
test045.jpg,0 0.545102447089947 0.7608883597883598 0.194702876984127 0.05947569444444444,1347 LJ 05 26,0.881578947368421
test046.jpg,"0 0.207011 0.660384 0.161376 0.086640
0 0.895668 0.521991 0.090939 0.048611",L 1265 MY,0.9333333333333333
test047.jpg,"0 0.714120 0.787533 0.115410 0.043320
0 0.353671 0.732143 0.059854 0.023810",N 1524 SY,0.92
test048.jpg,"0 0.24173300264550263 0.6959330026455027 0.05224900793650794 0.018849007936507938
0 0.776124 0.837963 0.125000 0.046296",9316 BC,0.957983193277311
test049.jpg,"0 0.39070800264550265 0.7040339947089946 0.04265899470899471 0.015212003968253968
0 0.9143152447089946 0.739889880952381 0.04953121693121693 0.018800694444444443",H 1004 DE,0.9627329192546584
test050.jpg,"0 0.382440 0.733466 0.052579 0.015873
0 0.751157 0.732308 0.080357 0.025463",N 1085 G,0.92
test051.jpg,0 0.4282044642857143 0.7410470899470899 0.11699083994708995 0.035666170634920634,N 1718 HC,0.925
test052.jpg,"0 0.123677 0.614583 0.115079 0.075728
0 0.391369 0.589286 0.121362 0.066799
0 0.629960 0.615741 0.117725 0.079365",N 6497 KS,0.9469026548672567
test053.jpg,0 0.280589 0.793155 0.176257 0.079696,N 1365 AA0,0.8378378378378378
test054.jpg,"0 0.3721528439153439 0.7603925595238095 0.04457030423280423 0.015493749999999999
0 0.7154066798941798 0.7537787367724867 0.05845945767195767 0.021446263227513227",H 1086 AAG,0.9627329192546584
test055.jpg,0 0.538856 0.862765 0.118056 0.036376,N 1610 KS,0.8648648648648649
test056.jpg,"0 0.169312 0.737765 0.046296 0.016534
0 0.406085 0.768188 0.074735 0.027116
0 0.820602 0.795304 0.063161 0.023148",N 1623 NB,0.9469026548672567
test057.jpg,"0 0.210813 0.845073 0.106151 0.037368
0 0.036871693121693125 0.835482671957672 0.040674999999999996 0.017525992063492063
0 0.770007 0.867560 0.126653 0.040675",N 1396 AAH,0.9620253164556962
test058.jpg,"0 0.2724141865079365 0.9655840939153439 0.1283068783068783 0.04690965608465609
0 0.174769 0.604993 0.036706 0.016865
0 0.605159 0.589120 0.057540 0.020172",N 3151 ACB 10-26,0.935064935064935
test059.jpg,"0 0.258267 0.844907 0.142196 0.043651
0 0.715443 0.695271 0.088955 0.028108",W 8774 PA,0.92
test060.jpg,"0 0.14467599206349208 0.6913026124338625 0.04464298941798942 0.015541997354497355
0 0.5458 0.7754626984126984 0.09160099206349206 0.029762003968253965",M 1257 ITA,0.96
test061.jpg,"0 0.34622999338624333 0.7835650132275132 0.0985450066137566 0.033399007936507935
0 0.763062 0.749339 0.071098 0.025132",BD 1146 DH,0.9491525423728814
test062.jpg,"0 0.26355863095238097 0.7065149470899471 0.05290998677248677 0.016204001322751325
0 0.7450400132275133 0.7032080026455028 0.08002599206349206 0.022816997354497354",HE 7244 S,0.9629629629629629
test063.jpg,0 0.485615 0.813823 0.073082 0.023810,S 1208 BT,0.8378378378378378
test064.jpg,0 0.324239 0.893188 0.092262 0.031746,AE 8137 G,0.8648648648648649
test065.jpg,0 0.630787 0.729663 0.067791 0.025463,H 106 SH,0.8918918918918919
test066.jpg,"0 0.174769 0.600364 0.045966 0.016204
0 0.779266 0.753307 0.128638 0.039021",H 1790 ZY,0.92
test067.jpg,"0 0.253968 0.736772 0.093915 0.031746
0 0.8283730158730159 0.6875 0.06613799603174603 0.021163988095238093",L 1855 BR,0.9433962264150944
test068.jpg,"0 0.2986110119047619 0.7903440145502646 0.10582000661375662 0.034391997354497356
0 0.8493720568783069 0.7374339947089946 0.07506600529100528 0.023809986772486774",B 2310 UZS,0.9627329192546584
test069.jpg,0 0.644180 0.742725 0.093254 0.032407,AA 1136 AK,0.918918918918919
test070.jpg,"0 0.302745 0.849206 0.046627 0.017857
0 0.773644 0.805886 0.065807 0.023148",B 2368 706,0.8933333333333333
test071.jpg,0 0.6030089947089947 0.5879629960317461 0.060516005291005294 0.02050300925925926,H 35245 AG,0.9125
test072.jpg,0 0.532573 0.784392 0.089616 0.030423,BG 1870 IB,0.8918918918918919
test073.jpg,"0 0.568122 0.536376 0.054894 0.019841
0 0.7445076058201059 0.5204785714285715 0.04258561507936508 0.01450162037037037",H 107 TIK,0.9572649572649573
test074.jpg,"0 0.318618 0.609127 0.076389 0.029762
0 0.629795 0.635251 0.060516 0.021164",B 1368 GE,0.9333333333333333
test075.jpg,"0 0.672288 0.953373 0.091931 0.044312
0 0.899967 0.805556 0.079034 0.033730
0 0.03885598544973545 0.7638889880952382 0.07705000000000001 0.033729993386243384",G 9173 BP,0.9617834394904459
test076.jpg,"0 0.094577 0.694444 0.105820 0.040344
0 0.403274 0.626653 0.075728 0.037698
0 0.760417 0.641369 0.068452 0.028770",B 2698 SN DT-96,0.9203539823008849
test077.jpg,0 0.808697 0.681878 0.100860 0.044312,G 1754 D7,0.8918918918918919
test078.jpg,0 0.560351 0.634094 0.103505 0.040675,H 1413 DH,0.8378378378378378
test079.jpg,"0 0.3179919642857143 0.7649755952380952 0.08436650132275132 0.0253265873015873
0 0.8849209986772487 0.7301586970899471 0.0429889880952381 0.015212003968253968",T 1688 GY,0.9620253164556962
test080.jpg,"0 0.483961 0.7215604497354496 0.09689199735456401 0.029100992063492065
0 0.249669 0.6916339947089948 0.05357199074174074 0.020833002645502648
0 0.902116 0.740079 0.07341333333333334 0.026455",D 77 HSB,0.9789473684210527
test081.jpg,"0 0.24583035714285714 0.7772576058201058 0.04456974206349206 0.015493816137566136
0 0.609458 0.866567 0.082011 0.030093",F 3067 80,0.9327731092436975
test082.jpg,"0 0.3449070105820106 0.7885247354497354 0.08399500661375661 0.024801984126984127
0 0.7757573082010583 0.7883356481481482 0.050853472222222224 0.01714728835978836",E 1824 YZ,0.9627329192546584
test083.jpg,"0 0.228009 0.760913 0.078373 0.039683
0 0.722553 0.720403 0.064153 0.021495",F 5052 AAE,0.9333333333333333
test084.jpg,"0 0.146495 0.734127 0.060185 0.021164
0 0.604993 0.762731 0.073743 0.026786",B 12462 VOY,0.9066666666666666
test085.jpg,"0 0.349206 0.746693 0.048280 0.017857
0 0.544147 0.816303 0.074405 0.024802
0 0.811508 0.764881 0.052910 0.019180",B 2938 FVJ,0.9469026548672567
test086.jpg,"0 0.170966 0.686343 0.050265 0.018849
0 0.634094 0.748347 0.122685 0.041667",B 1556-NRC,0.9333333333333333
test087.jpg,"0 0.4041009920634921 0.8973209986772487 0.1038360119047619 0.039351984126984124
0 0.5405089947089947 0.8045629960317461 0.07969599867724868 0.029762003968253965
0 0.863426 0.715278 0.051587 0.022487
0 0.322751 0.750165 0.051587 0.017526",B 6217 HXX,0.9745762711864406
test088.jpg,"0 0.3343252976190476 0.6579033068783069 0.05092599206349207 0.01818799603174603
0 0.560516 0.742063 0.085317 0.027116",B 1902 VKA,0.9487179487179487
test089.jpg,"0 0.23627599206349206 0.887400992063492 0.09160099206349206 0.028108002645502644
0 0.7501650132275132 0.8463959986772486 0.06977499999999999 0.023479001322751325
0 0.9725530092592594 0.7604170634920635 0.04894199735449735 0.017525992063492063",A 8606 ZE,0.9752066115702479
test090.jpg,"0 0.382771 0.815476 0.125992 0.041005
0 0.9730488095238096 0.71478167989418 0.05324100529100529 0.017525992063492063",T 9314 E,0.9482758620689655
test091.jpg,"0 0.363757 0.736276 0.129630 0.041997
0 0.13839298941798941 0.6818780092592592 0.06382301587301588 0.026454993386243384",B 2910 KZW,0.9495798319327731
test092.jpg,"0 0.356481 0.794808 0.089286 0.025463
0 0.6417 0.7349533068783068 0.045966005291005294 0.015541997354497355
0 0.047619 0.728671 0.043651 0.017526",B 1104 AAA,0.9586206896551724
test093.jpg,0 0.469246 0.733962 0.130952 0.044643,B 2026 BIU,0.8648648648648649
test094.jpg,0 0.564649 0.753803 0.138558 0.050595,G 1255 EJ,0.8648648648648649
test095.jpg,"0 0.2890209986772487 0.7751320105820106 0.08068799603174603 0.02711600529100529
0 0.6145830026455027 0.6946099867724868 0.038690013227513226 0.01686501322751323
0 0.7738099867724868 0.7463623677248677 0.04497400793650793 0.01653399470899471",B 1201 KAD,0.975
test096.jpg,"0 0.238757 0.705357 0.060185 0.023148
0 0.722388 0.733796 0.070437 0.023148",B 1502 NRO,0.92
test097.jpg,"0 0.594577 0.699239 0.070767 0.024802
0 0.306217 0.843254 0.070106 0.027778",B 1630 NAD,0.9333333333333333
test098.jpg,0 0.475364 0.685351 0.227844 0.071098,B 1779 DOB,0.8918918918918919
test099.jpg,"0 0.224372 0.708829 0.066468 0.024140
0 0.737269 0.825893 0.121362 0.040675",B 1892 WZT,0.92
test100.jpg,"0 0.253637996031746 0.7518190145502646 0.11375701058201057 0.032737996031746035
0 0.8267200066137566 0.6995700066137566 0.08994699074074075 0.028770006613756616",B 1071 PRG 06 2136 921,0.8875
